datetime,symbol,open,high,low,close,volume
2021-05-28 13:30:00,INDEX:MMTH,77.9,78.49,77.24,77.4,0.0
2021-06-01 13:30:00,INDEX:MMTH,78.12,78.25,77.19,78.03,0.0
2021-06-02 13:30:00,INDEX:MMTH,77.88,78.56,77.86,78.42,0.0
2021-06-03 13:30:00,INDEX:MMTH,77.5,77.83,76.51,77.66,0.0
2021-06-04 13:30:00,INDEX:MMTH,77.83,78.42,77.83,78.25,0.0
2021-06-07 13:30:00,INDEX:MMTH,78.06,79.23,78.06,79.16,0.0
2021-06-08 13:30:00,INDEX:MMTH,79.47,79.65,78.44,79.47,0.0
2021-06-09 13:30:00,INDEX:MMTH,79.74,80.34,79.69,79.86,0.0
2021-06-10 13:30:00,INDEX:MMTH,79.42,79.94,78.75,79.59,0.0
2021-06-11 13:30:00,INDEX:MMTH,79.67,80.16,79.36,80.05,0.0
2021-06-14 13:30:00,INDEX:MMTH,80.43,80.76,80.16,80.24,0.0
2021-06-15 13:30:00,INDEX:MMTH,79.99,80.06,78.22,78.73,0.0
2021-06-16 13:30:00,INDEX:MMTH,78.43,78.8,77.02,78.01,0.0
2021-06-17 13:30:00,INDEX:MMTH,77.88,77.97,76.51,77.24,0.0
2021-06-18 13:30:00,INDEX:MMTH,76.02,76.02,73.9,74.31,0.0
2021-06-21 13:30:00,INDEX:MMTH,74.76,76.09,74.63,75.78,0.0
2021-06-22 13:30:00,INDEX:MMTH,75.12,75.72,74.37,75.67,0.0
2021-06-23 13:30:00,INDEX:MMTH,75.72,76.51,75.61,75.95,0.0
2021-06-24 13:30:00,INDEX:MMTH,76.69,77.63,76.69,77.63,0.0
2021-06-25 13:30:00,INDEX:MMTH,78.01,78.78,77.98,78.2,0.0
2021-06-28 13:30:00,INDEX:MMTH,78.75,78.75,76.48,77.09,0.0
2021-06-29 13:30:00,INDEX:MMTH,77.19,77.33,75.62,75.62,0.0
2021-06-30 13:30:00,INDEX:MMTH,74.98,75.68,74.98,75.12,0.0
2021-07-01 13:30:00,INDEX:MMTH,75.96,76.27,75.45,76.11,0.0
2021-07-02 13:30:00,INDEX:MMTH,76.43,76.43,74.29,75.03,0.0
2021-07-06 13:30:00,INDEX:MMTH,74.36,74.36,71.82,72.73,0.0
2021-07-07 13:30:00,INDEX:MMTH,72.91,72.91,70.03,71.14,0.0
2021-07-08 13:30:00,INDEX:MMTH,67.72,70.5,66.75,69.37,0.0
2021-07-09 13:30:00,INDEX:MMTH,71.12,72.3,70.92,72.3,0.0
2021-07-12 13:30:00,INDEX:MMTH,71.48,72.54,71.03,72.22,0.0
2021-07-13 13:30:00,INDEX:MMTH,71.18,71.18,69.27,69.27,0.0
2021-07-14 13:30:00,INDEX:MMTH,69.45,69.87,66.99,67.06,0.0
2021-07-15 13:30:00,INDEX:MMTH,65.73,66.66,64.41,66.26,0.0
2021-07-16 13:30:00,INDEX:MMTH,66.99,66.99,63.48,63.51,0.0
2021-07-19 13:30:00,INDEX:MMTH,58.14,59.86,57.08,58.6,0.0
2021-07-20 13:30:00,INDEX:MMTH,58.82,65.11,58.82,64.01,0.0
2021-07-21 13:30:00,INDEX:MMTH,65.97,67.33,65.97,66.89,0.0
2021-07-22 13:30:00,INDEX:MMTH,65.52,65.52,63.4,64.01,0.0
2021-07-23 13:30:00,INDEX:MMTH,64.11,64.48,62.42,64.13,0.0
2021-07-26 13:30:00,INDEX:MMTH,64.85,66.39,64.29,65.15,0.0
2021-07-27 13:30:00,INDEX:MMTH,63.2,63.24,61.7,63.24,0.0
2021-07-28 13:30:00,INDEX:MMTH,64.09,65.85,62.65,65.08,0.0
2021-07-29 13:30:00,INDEX:MMTH,66.14,67.11,65.66,65.67,0.0
2021-07-30 13:30:00,INDEX:MMTH,64.55,65.68,63.19,63.77,0.0
2021-08-02 13:30:00,INDEX:MMTH,64.64,65.6,62.95,62.95,0.0
2021-08-03 13:30:00,INDEX:MMTH,62.44,62.79,60.52,62.79,0.0
2021-08-04 13:30:00,INDEX:MMTH,61.03,61.68,59.53,59.53,0.0
2021-08-05 13:30:00,INDEX:MMTH,60.05,62.09,60.05,61.74,0.0
2021-08-06 13:30:00,INDEX:MMTH,62.51,62.93,61.6,62.52,0.0
2021-08-09 13:30:00,INDEX:MMTH,61.05,62.35,60.73,61.65,0.0
2021-08-10 13:30:00,INDEX:MMTH,61.04,62.22,61.04,61.74,0.0
2021-08-11 13:30:00,INDEX:MMTH,61.36,62.52,60.79,62.52,0.0
2021-08-12 13:30:00,INDEX:MMTH,61.24,61.33,60.19,61.14,0.0
2021-08-13 13:30:00,INDEX:MMTH,60.73,60.73,59.85,59.86,0.0
2021-08-16 13:30:00,INDEX:MMTH,57.49,58.68,57.15,57.99,0.0
2021-08-17 13:30:00,INDEX:MMTH,55.21,56.0,53.93,55.47,0.0
2021-08-18 13:30:00,INDEX:MMTH,53.95,56.01,53.68,53.68,0.0
2021-08-19 13:30:00,INDEX:MMTH,50.99,51.72,49.73,50.65,0.0
2021-08-20 13:30:00,INDEX:MMTH,49.41,52.82,49.41,52.82,0.0
2021-08-23 13:30:00,INDEX:MMTH,53.97,55.65,53.97,55.4,0.0
2021-08-24 13:30:00,INDEX:MMTH,55.25,57.39,55.25,57.16,0.0
2021-08-25 13:30:00,INDEX:MMTH,55.8,58.43,55.8,57.72,0.0
2021-08-26 13:30:00,INDEX:MMTH,57.1,57.68,55.38,55.47,0.0
2021-08-27 13:30:00,INDEX:MMTH,56.06,60.0,56.06,59.64,0.0
2021-08-30 13:30:00,INDEX:MMTH,59.54,59.54,57.88,57.88,0.0
2021-08-31 13:30:00,INDEX:MMTH,57.21,58.92,56.89,58.5,0.0
2021-09-01 13:30:00,INDEX:MMTH,58.3,59.24,57.19,58.84,0.0
2021-09-02 13:30:00,INDEX:MMTH,59.02,60.19,58.96,59.41,0.0
2021-09-03 13:30:00,INDEX:MMTH,58.56,58.56,57.4,57.93,0.0
2021-09-07 13:30:00,INDEX:MMTH,57.46,57.92,56.25,56.25,0.0
2021-09-08 13:30:00,INDEX:MMTH,54.81,55.15,53.08,53.38,0.0
2021-09-09 13:30:00,INDEX:MMTH,52.15,54.85,52.15,52.64,0.0
2021-09-10 13:30:00,INDEX:MMTH,52.82,53.13,50.95,50.97,0.0
2021-09-13 13:30:00,INDEX:MMTH,50.96,52.32,50.39,51.93,0.0
2021-09-14 13:30:00,INDEX:MMTH,51.71,51.71,48.76,48.93,0.0
2021-09-15 13:30:00,INDEX:MMTH,48.44,50.63,48.42,50.62,0.0
2021-09-16 13:30:00,INDEX:MMTH,49.8,50.53,48.34,49.41,0.0
2021-09-17 13:30:00,INDEX:MMTH,49.33,49.44,48.16,49.44,0.0
2021-09-20 13:30:00,INDEX:MMTH,44.65,45.12,42.37,44.7,0.0
2021-09-21 13:30:00,INDEX:MMTH,45.59,45.59,43.6,44.24,0.0
2021-09-22 13:30:00,INDEX:MMTH,45.3,48.4,45.3,47.17,0.0
2021-09-23 13:30:00,INDEX:MMTH,48.1,51.82,48.1,50.98,0.0
2021-09-24 13:30:00,INDEX:MMTH,49.67,51.54,49.67,50.74,0.0
2021-09-27 13:30:00,INDEX:MMTH,53.5,53.51,53.5,53.5,0.0
2021-09-28 13:30:00,INDEX:MMTH,52.43,52.88,49.79,49.79,0.0
2021-09-29 13:30:00,INDEX:MMTH,49.63,50.51,49.33,49.84,0.0
2021-09-30 13:30:00,INDEX:MMTH,49.74,50.3,46.87,46.88,0.0
2021-10-01 13:30:00,INDEX:MMTH,47.39,51.31,46.26,50.17,0.0
2021-10-04 13:30:00,INDEX:MMTH,48.41,48.78,48.05,48.38,0.0
2021-10-05 13:30:00,INDEX:MMTH,48.4,50.06,48.38,49.04,0.0
2021-10-06 13:30:00,INDEX:MMTH,46.73,48.26,44.94,48.26,0.0
2021-10-07 13:30:00,INDEX:MMTH,50.15,51.9,50.15,50.47,0.0
2021-10-08 13:30:00,INDEX:MMTH,50.21,50.79,49.27,49.28,0.0
2021-10-11 13:30:00,INDEX:MMTH,49.58,50.47,48.16,48.17,0.0
2021-10-12 13:30:00,INDEX:MMTH,48.2,49.4,48.17,48.92,0.0
2021-10-13 13:30:00,INDEX:MMTH,48.93,49.2,47.13,49.04,0.0
2021-10-14 13:30:00,INDEX:MMTH,50.93,52.06,50.64,52.06,0.0
2021-10-15 13:30:00,INDEX:MMTH,53.38,53.45,51.65,51.65,0.0
2021-10-18 13:30:00,INDEX:MMTH,51.35,51.52,50.83,51.09,0.0
2021-10-19 13:30:00,INDEX:MMTH,51.46,51.71,50.56,51.7,0.0
2021-10-20 13:30:00,INDEX:MMTH,51.2,53.23,51.05,53.18,0.0
2021-10-21 13:30:00,INDEX:MMTH,53.15,53.72,52.08,52.91,0.0
2021-10-22 13:30:00,INDEX:MMTH,52.85,53.11,51.85,52.36,0.0
2021-10-25 13:30:00,INDEX:MMTH,52.17,53.35,52.17,53.18,0.0
2021-10-26 13:30:00,INDEX:MMTH,53.02,53.25,52.09,52.1,0.0
2021-10-27 13:30:00,INDEX:MMTH,51.55,51.58,48.97,48.98,0.0
2021-10-28 13:30:00,INDEX:MMTH,49.4,51.12,49.4,51.12,0.0
2021-10-29 13:30:00,INDEX:MMTH,50.5,50.9,49.91,50.59,0.0
2021-11-01 13:30:00,INDEX:MMTH,51.06,54.38,51.06,54.13,0.0
2021-11-02 13:30:00,INDEX:MMTH,53.38,53.88,52.61,53.87,0.0
2021-11-03 13:30:00,INDEX:MMTH,53.06,56.35,53.06,56.08,0.0
2021-11-04 13:30:00,INDEX:MMTH,56.06,56.32,54.42,55.23,0.0
2021-11-05 13:30:00,INDEX:MMTH,56.3,57.13,55.93,56.84,0.0
2021-11-08 14:30:00,INDEX:MMTH,57.78,57.78,56.7,57.42,0.0
2021-11-09 14:30:00,INDEX:MMTH,57.14,57.14,55.78,56.75,0.0
2021-11-10 14:30:00,INDEX:MMTH,56.52,56.88,54.49,54.65,0.0
2021-11-11 14:30:00,INDEX:MMTH,55.39,55.82,55.11,55.16,0.0
2021-11-12 14:30:00,INDEX:MMTH,55.26,55.83,54.89,55.77,0.0
2021-11-15 14:30:00,INDEX:MMTH,56.03,56.03,54.48,54.68,0.0
2021-11-16 14:30:00,INDEX:MMTH,53.84,54.41,53.48,53.91,0.0
2021-11-17 14:30:00,INDEX:MMTH,53.04,53.04,52.08,52.88,0.0
2021-11-18 14:30:00,INDEX:MMTH,52.53,52.61,50.56,51.1,0.0
2021-11-19 14:30:00,INDEX:MMTH,50.23,50.36,49.59,49.67,0.0
2021-11-22 14:30:00,INDEX:MMTH,50.06,50.97,49.33,49.33,0.0
2021-11-23 14:30:00,INDEX:MMTH,49.32,49.61,48.43,49.25,0.0
2021-11-24 14:30:00,INDEX:MMTH,47.68,49.41,47.68,49.18,0.0
2021-11-26 14:30:00,INDEX:MMTH,44.63,44.63,41.67,43.73,0.0
2021-11-29 14:30:00,INDEX:MMTH,45.15,45.15,42.79,43.3,0.0
2021-11-30 14:30:00,INDEX:MMTH,41.47,41.47,37.92,38.99,0.0
2021-12-01 14:30:00,INDEX:MMTH,41.73,43.62,36.22,36.22,0.0
2021-12-02 14:30:00,INDEX:MMTH,37.43,41.23,37.43,40.94,0.0
2021-12-03 14:30:00,INDEX:MMTH,41.28,41.28,36.97,38.22,0.0
2021-12-06 14:30:00,INDEX:MMTH,39.55,42.83,39.44,41.73,0.0
2021-12-07 14:30:00,INDEX:MMTH,43.74,45.24,43.74,44.18,0.0
2021-12-08 14:30:00,INDEX:MMTH,44.0,45.53,44.0,45.48,0.0
2021-12-09 14:30:00,INDEX:MMTH,43.87,44.3,42.28,42.3,0.0
2021-12-10 14:30:00,INDEX:MMTH,42.84,42.84,41.18,42.06,0.0
2021-12-13 14:30:00,INDEX:MMTH,41.37,41.37,39.48,39.75,0.0
2021-12-14 14:30:00,INDEX:MMTH,38.51,40.79,38.51,38.73,0.0
2021-12-15 14:30:00,INDEX:MMTH,38.88,40.6,36.8,40.26,0.0
2021-12-16 14:30:00,INDEX:MMTH,41.39,41.82,39.01,39.36,0.0
2021-12-17 14:30:00,INDEX:MMTH,38.08,39.26,36.57,38.01,0.0
2021-12-20 14:30:00,INDEX:MMTH,34.52,35.32,32.68,35.27,0.0
2021-12-21 14:30:00,INDEX:MMTH,36.58,39.63,36.58,39.63,0.0
2021-12-22 14:30:00,INDEX:MMTH,39.33,41.29,38.86,41.19,0.0
2021-12-23 14:30:00,INDEX:MMTH,42.3,43.56,42.17,42.92,0.0
2021-12-27 14:30:00,INDEX:MMTH,43.33,45.29,42.62,45.14,0.0
2021-12-28 14:30:00,INDEX:MMTH,45.23,46.2,45.01,45.1,0.0
2021-12-29 14:30:00,INDEX:MMTH,44.75,45.63,44.73,45.33,0.0
2021-12-30 14:30:00,INDEX:MMTH,45.88,46.49,45.41,45.41,0.0
2021-12-31 14:30:00,INDEX:MMTH,45.38,46.02,45.07,45.78,0.0
2022-01-03 14:30:00,INDEX:MMTH,46.58,47.75,46.57,47.6,0.0
2022-01-04 14:30:00,INDEX:MMTH,49.17,49.17,47.68,48.16,0.0
2022-01-05 14:30:00,INDEX:MMTH,49.0,49.04,44.32,44.33,0.0
2022-01-06 14:30:00,INDEX:MMTH,45.26,45.8,43.21,44.85,0.0
2022-01-07 14:30:00,INDEX:MMTH,44.74,45.56,44.64,44.64,0.0
2022-01-10 14:30:00,INDEX:MMTH,43.04,43.81,40.87,43.78,0.0
2022-01-11 14:30:00,INDEX:MMTH,43.96,45.8,43.0,45.66,0.0
2022-01-12 14:30:00,INDEX:MMTH,46.69,46.8,44.32,45.65,0.0
2022-01-13 14:30:00,INDEX:MMTH,46.02,46.74,44.73,44.73,0.0
2022-01-14 14:30:00,INDEX:MMTH,42.84,44.03,41.55,44.02,0.0
2022-01-18 14:30:00,INDEX:MMTH,41.56,41.83,40.04,40.28,0.0
2022-01-19 14:30:00,INDEX:MMTH,40.46,40.73,38.22,38.22,0.0
2022-01-20 14:30:00,INDEX:MMTH,38.23,40.32,34.55,34.57,0.0
2022-01-21 14:30:00,INDEX:MMTH,32.82,35.56,31.27,31.3,0.0
2022-01-24 14:30:00,INDEX:MMTH,26.19,32.36,25.77,32.19,0.0
2022-01-25 14:30:00,INDEX:MMTH,27.1,33.01,26.53,31.33,0.0
2022-01-26 14:30:00,INDEX:MMTH,32.45,34.66,27.84,29.44,0.0
2022-01-27 14:30:00,INDEX:MMTH,30.98,32.57,26.73,27.41,0.0
2022-01-28 14:30:00,INDEX:MMTH,26.0,29.83,25.06,29.8,0.0
2022-01-31 14:30:00,INDEX:MMTH,28.37,33.3,28.37,33.3,0.0
2022-02-01 14:30:00,INDEX:MMTH,33.12,34.94,32.11,34.94,0.0
2022-02-02 14:30:00,INDEX:MMTH,34.51,35.39,33.54,35.06,0.0
2022-02-03 14:30:00,INDEX:MMTH,32.65,34.02,31.95,32.14,0.0
2022-02-04 14:30:00,INDEX:MMTH,31.46,33.61,30.03,32.32,0.0
2022-02-07 14:30:00,INDEX:MMTH,32.32,34.41,32.28,33.13,0.0
2022-02-08 14:30:00,INDEX:MMTH,33.48,35.93,33.48,35.83,0.0
2022-02-09 14:30:00,INDEX:MMTH,37.68,38.66,37.68,38.5,0.0
2022-02-10 14:30:00,INDEX:MMTH,36.16,39.61,35.37,35.82,0.0
2022-02-11 14:30:00,INDEX:MMTH,35.85,37.31,33.07,34.28,0.0
2022-02-14 14:30:00,INDEX:MMTH,34.04,34.21,32.22,32.94,0.0
2022-02-15 14:30:00,INDEX:MMTH,35.44,37.46,35.44,37.45,0.0
2022-02-16 14:30:00,INDEX:MMTH,36.5,38.76,36.5,38.63,0.0
2022-02-17 14:30:00,INDEX:MMTH,35.58,36.71,34.74,35.0,0.0
2022-02-18 14:30:00,INDEX:MMTH,33.97,35.33,33.65,34.29,0.0
2022-02-22 14:30:00,INDEX:MMTH,32.02,33.76,31.31,32.07,0.0
2022-02-23 14:30:00,INDEX:MMTH,32.78,32.78,29.64,29.64,0.0
2022-02-24 14:30:00,INDEX:MMTH,23.08,30.17,23.08,29.8,0.0
2022-02-25 14:30:00,INDEX:MMTH,30.61,35.66,30.61,35.64,0.0
2022-02-28 14:30:00,INDEX:MMTH,35.22,35.22,35.16,35.18,0.0
2022-03-01 14:30:00,INDEX:MMTH,34.34,34.34,30.02,30.92,0.0
2022-03-02 14:30:00,INDEX:MMTH,31.79,36.89,31.79,36.31,0.0
2022-03-03 14:30:00,INDEX:MMTH,36.7,36.7,34.08,35.77,0.0
2022-03-04 14:30:00,INDEX:MMTH,33.01,33.66,31.7,33.66,0.0
2022-03-07 14:30:00,INDEX:MMTH,32.53,32.53,29.3,29.3,0.0
2022-03-08 14:30:00,INDEX:MMTH,29.77,31.85,28.72,29.22,0.0
2022-03-09 14:30:00,INDEX:MMTH,32.73,33.7,32.03,32.83,0.0
2022-03-10 14:30:00,INDEX:MMTH,31.35,33.11,30.95,33.05,0.0
2022-03-11 14:30:00,INDEX:MMTH,33.43,34.13,31.84,31.84,0.0
2022-03-14 13:30:00,INDEX:MMTH,31.8,32.9,30.52,31.16,0.0
2022-03-15 13:30:00,INDEX:MMTH,31.01,32.47,30.78,32.46,0.0
2022-03-16 13:30:00,INDEX:MMTH,32.82,35.66,32.48,35.64,0.0
2022-03-17 13:30:00,INDEX:MMTH,34.24,37.91,34.24,37.91,0.0
2022-03-18 13:30:00,INDEX:MMTH,36.34,39.01,35.8,38.99,0.0
2022-03-21 13:30:00,INDEX:MMTH,39.03,39.25,37.79,38.48,0.0
2022-03-22 13:30:00,INDEX:MMTH,39.33,40.21,39.33,40.06,0.0
2022-03-23 13:30:00,INDEX:MMTH,38.09,38.95,37.02,37.02,0.0
2022-03-24 13:30:00,INDEX:MMTH,36.51,38.85,36.39,38.83,0.0
2022-03-25 13:30:00,INDEX:MMTH,38.43,39.87,38.43,39.79,0.0
2022-03-28 13:30:00,INDEX:MMTH,38.82,39.93,37.55,39.76,0.0
2022-03-29 13:30:00,INDEX:MMTH,42.39,44.05,41.51,43.97,0.0
2022-03-30 13:30:00,INDEX:MMTH,42.48,42.76,40.11,40.32,0.0
2022-03-31 13:30:00,INDEX:MMTH,40.19,41.0,39.09,39.09,0.0
2022-04-01 13:30:00,INDEX:MMTH,39.33,39.97,38.34,39.9,0.0
2022-04-04 13:30:00,INDEX:MMTH,39.25,39.85,38.26,39.76,0.0
2022-04-05 13:30:00,INDEX:MMTH,39.25,39.25,36.81,36.84,0.0
2022-04-06 13:30:00,INDEX:MMTH,34.44,36.21,34.44,35.97,0.0
2022-04-07 13:30:00,INDEX:MMTH,34.88,35.58,33.29,35.29,0.0
2022-04-08 13:30:00,INDEX:MMTH,34.22,35.36,33.83,34.64,0.0
2022-04-11 13:30:00,INDEX:MMTH,33.98,34.81,33.42,33.54,0.0
2022-04-12 13:30:00,INDEX:MMTH,33.81,35.6,33.62,34.0,0.0
2022-04-13 13:30:00,INDEX:MMTH,34.22,36.32,34.15,36.09,0.0
2022-04-14 13:30:00,INDEX:MMTH,36.28,36.71,35.92,36.0,0.0
2022-04-18 13:30:00,INDEX:MMTH,35.45,36.16,35.07,35.56,0.0
2022-04-19 13:30:00,INDEX:MMTH,35.28,38.23,35.28,38.04,0.0
2022-04-20 13:30:00,INDEX:MMTH,38.69,39.98,38.69,39.38,0.0
2022-04-21 13:30:00,INDEX:MMTH,40.85,40.85,36.66,36.67,0.0
2022-04-22 13:30:00,INDEX:MMTH,35.25,35.25,33.04,33.07,0.0
2022-04-25 13:30:00,INDEX:MMTH,30.71,33.08,29.83,33.08,0.0
2022-04-26 13:30:00,INDEX:MMTH,31.27,31.27,29.21,29.21,0.0
2022-04-27 13:30:00,INDEX:MMTH,28.58,29.89,28.57,28.86,0.0
2022-04-28 13:30:00,INDEX:MMTH,29.05,31.46,27.39,31.3,0.0
2022-04-29 13:30:00,INDEX:MMTH,30.38,30.78,27.43,27.65,0.0
2022-05-02 13:30:00,INDEX:MMTH,25.77,27.4,25.01,26.85,0.0
2022-05-03 13:30:00,INDEX:MMTH,25.81,28.71,25.81,28.23,0.0
2022-05-04 13:30:00,INDEX:MMTH,27.6,32.0,27.4,31.99,0.0
2022-05-05 13:30:00,INDEX:MMTH,28.99,28.99,26.07,27.07,0.0
2022-05-06 13:30:00,INDEX:MMTH,24.17,26.25,24.17,25.77,0.0
2022-05-09 13:30:00,INDEX:MMTH,22.95,23.24,21.5,21.78,0.0
2022-05-10 13:30:00,INDEX:MMTH,21.75,22.32,19.64,21.16,0.0
2022-05-11 13:30:00,INDEX:MMTH,21.75,22.97,20.31,20.41,0.0
2022-05-12 13:30:00,INDEX:MMTH,18.16,20.0,18.16,20.0,0.0
2022-05-13 13:30:00,INDEX:MMTH,20.5,22.85,20.32,22.78,0.0
2022-05-16 13:30:00,INDEX:MMTH,21.6,23.51,21.6,23.01,0.0
2022-05-17 13:30:00,INDEX:MMTH,24.15,26.04,23.92,26.01,0.0
2022-05-18 13:30:00,INDEX:MMTH,24.62,24.62,22.02,22.3,0.0
2022-05-19 13:30:00,INDEX:MMTH,20.61,22.47,20.48,21.7,0.0
2022-05-20 13:30:00,INDEX:MMTH,21.56,21.56,19.72,21.46,0.0
2022-05-23 13:30:00,INDEX:MMTH,21.6,23.41,21.6,23.14,0.0
2022-05-24 13:30:00,INDEX:MMTH,21.77,22.81,20.82,22.77,0.0
2022-05-25 13:30:00,INDEX:MMTH,22.12,24.53,22.12,24.07,0.0
2022-05-26 13:30:00,INDEX:MMTH,24.95,26.4,24.95,26.11,0.0
2022-05-27 13:30:00,INDEX:MMTH,26.47,28.72,26.47,28.7,0.0
2022-05-31 13:30:00,INDEX:MMTH,26.48,28.29,26.48,27.77,0.0
2022-06-01 13:30:00,INDEX:MMTH,27.61,27.61,24.94,26.88,0.0
2022-06-02 13:30:00,INDEX:MMTH,26.36,29.41,26.36,29.4,0.0
2022-06-03 13:30:00,INDEX:MMTH,27.68,28.24,27.37,27.83,0.0
2022-06-06 13:30:00,INDEX:MMTH,28.95,28.98,27.98,28.46,0.0
2022-06-07 13:30:00,INDEX:MMTH,26.73,29.87,26.73,29.82,0.0
2022-06-08 13:30:00,INDEX:MMTH,28.25,28.79,27.27,27.54,0.0
2022-06-09 13:30:00,INDEX:MMTH,26.41,26.82,25.11,25.21,0.0
2022-06-10 13:30:00,INDEX:MMTH,22.17,22.96,21.58,22.72,0.0
2022-06-13 13:30:00,INDEX:MMTH,18.12,19.29,17.77,17.96,0.0
2022-06-14 13:30:00,INDEX:MMTH,16.72,17.88,16.72,17.55,0.0
2022-06-15 13:30:00,INDEX:MMTH,17.49,19.61,17.49,18.35,0.0
2022-06-16 13:30:00,INDEX:MMTH,14.68,15.69,14.68,15.57,0.0
2022-06-17 13:30:00,INDEX:MMTH,14.48,15.75,14.3,15.73,0.0
2022-06-21 13:30:00,INDEX:MMTH,17.78,18.07,17.56,17.56,0.0
2022-06-22 13:30:00,INDEX:MMTH,14.33,16.95,14.33,16.63,0.0
2022-06-23 13:30:00,INDEX:MMTH,15.77,16.51,15.24,16.51,0.0
2022-06-24 13:30:00,INDEX:MMTH,16.19,19.34,16.19,19.1,0.0
2022-06-27 13:30:00,INDEX:MMTH,18.57,20.88,18.57,20.88,0.0
2022-06-28 13:30:00,INDEX:MMTH,21.13,21.13,19.56,19.88,0.0
2022-06-29 13:30:00,INDEX:MMTH,18.59,18.89,17.85,18.7,0.0
2022-06-30 13:30:00,INDEX:MMTH,16.14,18.79,16.14,18.71,0.0
2022-07-01 13:30:00,INDEX:MMTH,16.57,19.41,16.32,19.41,0.0
2022-07-05 13:30:00,INDEX:MMTH,16.21,18.25,15.33,18.25,0.0
2022-07-06 13:30:00,INDEX:MMTH,16.92,17.75,15.63,17.42,0.0
2022-07-07 13:30:00,INDEX:MMTH,17.56,19.91,17.56,19.85,0.0
2022-07-08 13:30:00,INDEX:MMTH,17.53,20.0,17.53,19.91,0.0
2022-07-11 13:30:00,INDEX:MMTH,18.23,19.16,17.78,18.82,0.0
2022-07-12 13:30:00,INDEX:MMTH,17.36,18.34,17.2,18.03,0.0
2022-07-13 13:30:00,INDEX:MMTH,16.58,18.44,16.58,18.0,0.0
2022-07-14 13:30:00,INDEX:MMTH,15.25,17.18,14.89,17.18,0.0
2022-07-15 13:30:00,INDEX:MMTH,15.82,18.99,15.82,18.99,0.0
2022-07-18 13:30:00,INDEX:MMTH,19.61,20.25,19.03,19.04,0.0
2022-07-19 13:30:00,INDEX:MMTH,19.24,22.23,19.24,22.18,0.0
2022-07-20 13:30:00,INDEX:MMTH,20.74,23.04,20.39,22.81,0.0
2022-07-21 13:30:00,INDEX:MMTH,20.88,23.52,20.49,23.48,0.0
2022-07-22 13:30:00,INDEX:MMTH,22.78,23.07,21.69,22.55,0.0
2022-07-25 13:30:00,INDEX:MMTH,22.15,24.14,22.15,24.14,0.0
2022-07-26 13:30:00,INDEX:MMTH,22.22,24.12,22.22,23.9,0.0
2022-07-27 13:30:00,INDEX:MMTH,24.01,27.02,23.73,26.89,0.0
2022-07-28 13:30:00,INDEX:MMTH,26.61,29.53,25.32,29.52,0.0
2022-07-29 13:30:00,INDEX:MMTH,28.41,31.46,28.41,31.05,0.0
2022-08-01 13:30:00,INDEX:MMTH,29.24,32.07,29.24,31.46,0.0
2022-08-02 13:30:00,INDEX:MMTH,29.41,31.89,29.11,30.49,0.0
2022-08-03 13:30:00,INDEX:MMTH,30.9,32.73,30.22,32.34,0.0
2022-08-04 13:30:00,INDEX:MMTH,31.37,31.76,31.17,31.29,0.0
2022-08-05 13:30:00,INDEX:MMTH,28.03,32.85,28.03,32.83,0.0
2022-08-08 13:30:00,INDEX:MMTH,33.4,34.84,33.38,34.16,0.0
2022-08-09 13:30:00,INDEX:MMTH,33.03,33.31,32.29,33.03,0.0
2022-08-10 13:30:00,INDEX:MMTH,35.35,37.1,35.35,37.1,0.0
2022-08-11 13:30:00,INDEX:MMTH,38.35,39.38,37.79,38.1,0.0
2022-08-12 13:30:00,INDEX:MMTH,37.86,41.17,37.86,41.16,0.0
2022-08-15 13:30:00,INDEX:MMTH,38.81,40.38,38.62,40.34,0.0
2022-08-16 13:30:00,INDEX:MMTH,40.99,42.19,40.24,41.23,0.0
2022-08-17 13:30:00,INDEX:MMTH,39.78,40.12,38.01,38.89,0.0
2022-08-18 13:30:00,INDEX:MMTH,39.2,40.28,38.77,40.15,0.0
2022-08-19 13:30:00,INDEX:MMTH,39.03,39.03,36.3,36.68,0.0
2022-08-22 13:30:00,INDEX:MMTH,34.34,34.34,32.85,32.86,0.0
2022-08-23 13:30:00,INDEX:MMTH,34.6,34.72,33.21,33.22,0.0
2022-08-24 13:30:00,INDEX:MMTH,33.98,35.0,33.98,34.3,0.0
2022-08-25 13:30:00,INDEX:MMTH,36.16,37.21,35.63,37.21,0.0
2022-08-26 13:30:00,INDEX:MMTH,36.68,36.68,32.52,32.52,0.0
2022-08-29 13:30:00,INDEX:MMTH,31.26,31.87,30.95,31.07,0.0
2022-08-30 13:30:00,INDEX:MMTH,31.64,31.64,28.22,28.22,0.0
2022-08-31 13:30:00,INDEX:MMTH,28.75,29.28,27.6,27.67,0.0
2022-09-01 13:30:00,INDEX:MMTH,26.25,26.52,25.05,26.52,0.0
2022-09-02 13:30:00,INDEX:MMTH,28.28,28.86,25.91,26.02,0.0
2022-09-06 13:30:00,INDEX:MMTH,26.85,26.85,24.58,24.74,0.0
2022-09-07 13:30:00,INDEX:MMTH,24.46,27.98,24.46,27.86,0.0
2022-09-08 13:30:00,INDEX:MMTH,27.24,28.82,27.24,28.82,0.0
2022-09-09 13:30:00,INDEX:MMTH,30.44,31.89,30.44,31.64,0.0
2022-09-12 13:30:00,INDEX:MMTH,33.64,34.16,33.64,34.12,0.0
